club,busyness,date
EUROPA,21%,2021-12-17 17:00:09
FABIJONIŠKĖS,16%,2021-12-17 17:00:09
PERKŪNKIEMIS,14%,2021-12-17 17:00:09
PILAITĖ,15%,2021-12-17 17:00:09
SAVANORIAI,16%,2021-12-17 17:00:09
ŠILAINIAI,16%,2021-12-17 17:00:09
ŽALGIRIO ARENA,7%,2021-12-17 17:00:09
ANTAKALNIS,18%,2021-12-17 18:00:07
BANGINIS,25%,2021-12-17 18:00:07
EUROPA,21%,2021-12-17 18:00:07
FABIJONIŠKĖS,15%,2021-12-17 18:00:07
PERKŪNKIEMIS,17%,2021-12-17 18:00:07
PILAITĖ,16%,2021-12-17 18:00:07
SAVANORIAI,13%,2021-12-17 18:00:07
ŠILAINIAI,26%,2021-12-17 18:00:07
ŽALGIRIO ARENA,3%,2021-12-17 18:00:07
ANTAKALNIS,17%,2021-12-17 19:00:08
BANGINIS,19%,2021-12-17 19:00:08
EUROPA,14%,2021-12-17 19:00:08
FABIJONIŠKĖS,14%,2021-12-17 19:00:08
PERKŪNKIEMIS,10%,2021-12-17 19:00:08
PILAITĖ,13%,2021-12-17 19:00:08
SAVANORIAI,16%,2021-12-17 19:00:08
ŠILAINIAI,22%,2021-12-17 19:00:08
ŽALGIRIO ARENA,6%,2021-12-17 19:00:08
ANTAKALNIS,13%,2021-12-17 20:00:08
BANGINIS,15%,2021-12-17 20:00:08
EUROPA,12%,2021-12-17 20:00:08
FABIJONIŠKĖS,11%,2021-12-17 20:00:08
PERKŪNKIEMIS,9%,2021-12-17 20:00:08
PILAITĖ,12%,2021-12-17 20:00:08
SAVANORIAI,14%,2021-12-17 20:00:08
ŠILAINIAI,15%,2021-12-17 20:00:08
ŽALGIRIO ARENA,3%,2021-12-17 20:00:08
ANTAKALNIS,9%,2021-12-17 21:00:08
BANGINIS,12%,2021-12-17 21:00:08
EUROPA,9%,2021-12-17 21:00:08
FABIJONIŠKĖS,11%,2021-12-17 21:00:08
PERKŪNKIEMIS,6%,2021-12-17 21:00:08
PILAITĖ,7%,2021-12-17 21:00:08
SAVANORIAI,12%,2021-12-17 21:00:08
ŠILAINIAI,7%,2021-12-17 21:00:08
ŽALGIRIO ARENA,3%,2021-12-17 21:00:08
ANTAKALNIS,8%,2021-12-17 22:00:07
BANGINIS,9%,2021-12-17 22:00:07
EUROPA,6%,2021-12-17 22:00:07
FABIJONIŠKĖS,8%,2021-12-17 22:00:07
PERKŪNKIEMIS,3%,2021-12-17 22:00:07
PILAITĖ,2%,2021-12-17 22:00:07
SAVANORIAI,4%,2021-12-17 22:00:07
ŠILAINIAI,4%,2021-12-17 22:00:07
ŽALGIRIO ARENA,2%,2021-12-17 22:00:07
ANTAKALNIS,8%,2021-12-18 15:00:08
BANGINIS,12%,2021-12-18 15:00:08
EUROPA,13%,2021-12-18 15:00:08
FABIJONIŠKĖS,9%,2021-12-18 15:00:08
PERKŪNKIEMIS,9%,2021-12-18 15:00:08
PILAITĖ,6%,2021-12-18 15:00:08
SAVANORIAI,11%,2021-12-18 15:00:08
ŠILAINIAI,11%,2021-12-18 15:00:08
ŽALGIRIO ARENA,6%,2021-12-18 15:00:08
ANTAKALNIS,10%,2021-12-18 16:00:08
BANGINIS,7%,2021-12-18 16:00:08
EUROPA,10%,2021-12-18 16:00:08
FABIJONIŠKĖS,9%,2021-12-18 16:00:08
PERKŪNKIEMIS,11%,2021-12-18 16:00:08
PILAITĖ,9%,2021-12-18 16:00:08
SAVANORIAI,10%,2021-12-18 16:00:08
ŠILAINIAI,13%,2021-12-18 16:00:08
ŽALGIRIO ARENA,4%,2021-12-18 16:00:08
ANTAKALNIS,6%,2021-12-18 20:00:08
BANGINIS,6%,2021-12-18 20:00:08
EUROPA,4%,2021-12-18 20:00:08
FABIJONIŠKĖS,4%,2021-12-18 20:00:08
PERKŪNKIEMIS,0%,2021-12-18 20:00:08
PILAITĖ,0%,2021-12-18 20:00:08
SAVANORIAI,5%,2021-12-18 20:00:08
ŠILAINIAI,5%,2021-12-18 20:00:08
ŽALGIRIO ARENA,2%,2021-12-18 20:00:08
ANTAKALNIS,13%,2021-12-20 15:00:07
BANGINIS,9%,2021-12-20 15:00:07
EUROPA,13%,2021-12-20 15:00:07
FABIJONIŠKĖS,13%,2021-12-20 15:00:07
PERKŪNKIEMIS,8%,2021-12-20 15:00:07
PILAITĖ,8%,2021-12-20 15:00:07
SAVANORIAI,12%,2021-12-20 15:00:07
ŠILAINIAI,16%,2021-12-20 15:00:07
ŽALGIRIO ARENA,6%,2021-12-20 15:00:07
ANTAKALNIS,22%,2021-12-20 16:00:07
BANGINIS,18%,2021-12-20 16:00:07
EUROPA,14%,2021-12-20 16:00:07
FABIJONIŠKĖS,21%,2021-12-20 16:00:07
PERKŪNKIEMIS,15%,2021-12-20 16:00:07
PILAITĖ,13%,2021-12-20 16:00:07
SAVANORIAI,11%,2021-12-20 16:00:07
ŠILAINIAI,20%,2021-12-20 16:00:07
ŽALGIRIO ARENA,4%,2021-12-20 16:00:07
ANTAKALNIS,15%,2021-12-20 17:00:07
BANGINIS,22%,2021-12-20 17:00:07
EUROPA,21%,2021-12-20 17:00:07
FABIJONIŠKĖS,24%,2021-12-20 17:00:07
PERKŪNKIEMIS,15%,2021-12-20 17:00:07
PILAITĖ,14%,2021-12-20 17:00:07
SAVANORIAI,23%,2021-12-20 17:00:07
ŠILAINIAI,31%,2021-12-20 17:00:07
ŽALGIRIO ARENA,10%,2021-12-20 17:00:07
ANTAKALNIS,11%,2021-12-20 18:00:07
BANGINIS,27%,2021-12-20 18:00:07
EUROPA,27%,2021-12-20 18:00:07
FABIJONIŠKĖS,20%,2021-12-20 18:00:07
PERKŪNKIEMIS,22%,2021-12-20 18:00:07
PILAITĖ,17%,2021-12-20 18:00:07
SAVANORIAI,23%,2021-12-20 18:00:07
ŠILAINIAI,33%,2021-12-20 18:00:07
ŽALGIRIO ARENA,12%,2021-12-20 18:00:07
ANTAKALNIS,11%,2021-12-20 19:00:07
BANGINIS,29%,2021-12-20 19:00:07
EUROPA,27%,2021-12-20 19:00:07
FABIJONIŠKĖS,23%,2021-12-20 19:00:07
PERKŪNKIEMIS,26%,2021-12-20 19:00:07
PILAITĖ,17%,2021-12-20 19:00:07
SAVANORIAI,19%,2021-12-20 19:00:07
ŠILAINIAI,27%,2021-12-20 19:00:07
ŽALGIRIO ARENA,13%,2021-12-20 19:00:07
ANTAKALNIS,17%,2021-12-20 20:00:08
BANGINIS,32%,2021-12-20 20:00:08
EUROPA,21%,2021-12-20 20:00:08
FABIJONIŠKĖS,26%,2021-12-20 20:00:08
PERKŪNKIEMIS,22%,2021-12-20 20:00:08
PILAITĖ,18%,2021-12-20 20:00:08
SAVANORIAI,19%,2021-12-20 20:00:08
ŠILAINIAI,19%,2021-12-20 20:00:08
ŽALGIRIO ARENA,10%,2021-12-20 20:00:08
ANTAKALNIS,12%,2021-12-20 21:00:07
BANGINIS,22%,2021-12-20 21:00:07
EUROPA,12%,2021-12-20 21:00:07
FABIJONIŠKĖS,15%,2021-12-20 21:00:07
PERKŪNKIEMIS,20%,2021-12-20 21:00:07
PILAITĖ,12%,2021-12-20 21:00:07
SAVANORIAI,16%,2021-12-20 21:00:07
ŠILAINIAI,20%,2021-12-20 21:00:07
ŽALGIRIO ARENA,11%,2021-12-20 21:00:07
ANTAKALNIS,11%,2021-12-20 22:00:09
BANGINIS,14%,2021-12-20 22:00:09
EUROPA,5%,2021-12-20 22:00:09
FABIJONIŠKĖS,7%,2021-12-20 22:00:09
PERKŪNKIEMIS,7%,2021-12-20 22:00:09
PILAITĖ,6%,2021-12-20 22:00:09
SAVANORIAI,9%,2021-12-20 22:00:09
ŠILAINIAI,14%,2021-12-20 22:00:09
ŽALGIRIO ARENA,6%,2021-12-20 22:00:09
ANTAKALNIS,4%,2021-12-20 23:00:08
BANGINIS,7%,2021-12-20 23:00:08
EUROPA,2%,2021-12-20 23:00:08
FABIJONIŠKĖS,0%,2021-12-20 23:00:08
PERKŪNKIEMIS,0%,2021-12-20 23:00:08
PILAITĖ,0%,2021-12-20 23:00:08
SAVANORIAI,8%,2021-12-20 23:00:08
ŠILAINIAI,5%,2021-12-20 23:00:08
ŽALGIRIO ARENA,1%,2021-12-20 23:00:08
ANTAKALNIS,7%,2021-12-21 15:00:07
BANGINIS,16%,2021-12-21 15:00:07
EUROPA,7%,2021-12-21 15:00:07
FABIJONIŠKĖS,15%,2021-12-21 15:00:07
PERKŪNKIEMIS,8%,2021-12-21 15:00:07
PILAITĖ,9%,2021-12-21 15:00:07
SAVANORIAI,12%,2021-12-21 15:00:07
ŠILAINIAI,15%,2021-12-21 15:00:07
ŽALGIRIO ARENA,3%,2021-12-21 15:00:07
ANTAKALNIS,11%,2021-12-21 16:00:08
BANGINIS,14%,2021-12-21 16:00:08
EUROPA,13%,2021-12-21 16:00:08
FABIJONIŠKĖS,15%,2021-12-21 16:00:08
PERKŪNKIEMIS,10%,2021-12-21 16:00:08
PILAITĖ,11%,2021-12-21 16:00:08
SAVANORIAI,18%,2021-12-21 16:00:08
ŠILAINIAI,17%,2021-12-21 16:00:08
ŽALGIRIO ARENA,6%,2021-12-21 16:00:08
ANTAKALNIS,16%,2021-12-21 17:00:12
BANGINIS,16%,2021-12-21 17:00:12
EUROPA,14%,2021-12-21 17:00:12
FABIJONIŠKĖS,17%,2021-12-21 17:00:12
PERKŪNKIEMIS,6%,2021-12-21 17:00:12
PILAITĖ,11%,2021-12-21 17:00:12
SAVANORIAI,23%,2021-12-21 17:00:12
ŠILAINIAI,17%,2021-12-21 17:00:12
ŽALGIRIO ARENA,11%,2021-12-21 17:00:12
ANTAKALNIS,17%,2021-12-21 18:00:08
BANGINIS,26%,2021-12-21 18:00:08
EUROPA,16%,2021-12-21 18:00:08
FABIJONIŠKĖS,21%,2021-12-21 18:00:08
PERKŪNKIEMIS,23%,2021-12-21 18:00:08
PILAITĖ,13%,2021-12-21 18:00:08
SAVANORIAI,22%,2021-12-21 18:00:08
ŠILAINIAI,28%,2021-12-21 18:00:08
ŽALGIRIO ARENA,6%,2021-12-21 18:00:08
ANTAKALNIS,20%,2021-12-21 19:00:08
BANGINIS,29%,2021-12-21 19:00:08
EUROPA,20%,2021-12-21 19:00:08
FABIJONIŠKĖS,23%,2021-12-21 19:00:08
PERKŪNKIEMIS,28%,2021-12-21 19:00:08
PILAITĖ,15%,2021-12-21 19:00:08
SAVANORIAI,18%,2021-12-21 19:00:08
ŠILAINIAI,35%,2021-12-21 19:00:08
ŽALGIRIO ARENA,7%,2021-12-21 19:00:08
ANTAKALNIS,17%,2021-12-21 20:00:07
BANGINIS,19%,2021-12-21 20:00:07
EUROPA,21%,2021-12-21 20:00:07
FABIJONIŠKĖS,17%,2021-12-21 20:00:07
PERKŪNKIEMIS,22%,2021-12-21 20:00:07
PILAITĖ,16%,2021-12-21 20:00:07
SAVANORIAI,16%,2021-12-21 20:00:07
ŠILAINIAI,25%,2021-12-21 20:00:07
ŽALGIRIO ARENA,3%,2021-12-21 20:00:07
ANTAKALNIS,13%,2021-12-21 21:00:08
BANGINIS,15%,2021-12-21 21:00:08
EUROPA,13%,2021-12-21 21:00:08
FABIJONIŠKĖS,15%,2021-12-21 21:00:08
PERKŪNKIEMIS,13%,2021-12-21 21:00:08
PILAITĖ,10%,2021-12-21 21:00:08
SAVANORIAI,19%,2021-12-21 21:00:08
ŠILAINIAI,19%,2021-12-21 21:00:08
ŽALGIRIO ARENA,5%,2021-12-21 21:00:08
ANTAKALNIS,4%,2021-12-21 22:00:08
BANGINIS,8%,2021-12-21 22:00:08
EUROPA,5%,2021-12-21 22:00:08
FABIJONIŠKĖS,9%,2021-12-21 22:00:08
PERKŪNKIEMIS,6%,2021-12-21 22:00:08
PILAITĖ,7%,2021-12-21 22:00:08
SAVANORIAI,15%,2021-12-21 22:00:08
ŠILAINIAI,10%,2021-12-21 22:00:08
ŽALGIRIO ARENA,6%,2021-12-21 22:00:08
ANTAKALNIS,2%,2021-12-21 23:00:08
BANGINIS,4%,2021-12-21 23:00:08
EUROPA,3%,2021-12-21 23:00:08
FABIJONIŠKĖS,3%,2021-12-21 23:00:08
PERKŪNKIEMIS,2%,2021-12-21 23:00:08
PILAITĖ,0%,2021-12-21 23:00:08
SAVANORIAI,8%,2021-12-21 23:00:08
ŠILAINIAI,5%,2021-12-21 23:00:08
ŽALGIRIO ARENA,2%,2021-12-21 23:00:08
ANTAKALNIS,1%,2021-12-22 00:00:08
BANGINIS,3%,2021-12-22 00:00:08
EUROPA,0%,2021-12-22 00:00:08
FABIJONIŠKĖS,0%,2021-12-22 00:00:08
PERKŪNKIEMIS,0%,2021-12-22 00:00:08
PILAITĖ,0%,2021-12-22 00:00:08
SAVANORIAI,3%,2021-12-22 00:00:08
ŠILAINIAI,2%,2021-12-22 00:00:08
ŽALGIRIO ARENA,0%,2021-12-22 00:00:08
ANTAKALNIS,0%,2021-12-22 01:00:08
BANGINIS,2%,2021-12-22 01:00:08
EUROPA,0%,2021-12-22 01:00:08
FABIJONIŠKĖS,0%,2021-12-22 01:00:08
PERKŪNKIEMIS,0%,2021-12-22 01:00:08
PILAITĖ,0%,2021-12-22 01:00:08
SAVANORIAI,2%,2021-12-22 01:00:08
ŠILAINIAI,1%,2021-12-22 01:00:08
ŽALGIRIO ARENA,0%,2021-12-22 01:00:08
ANTAKALNIS,0%,2021-12-22 02:00:07
BANGINIS,1%,2021-12-22 02:00:07
EUROPA,0%,2021-12-22 02:00:07
FABIJONIŠKĖS,0%,2021-12-22 02:00:07
PERKŪNKIEMIS,0%,2021-12-22 02:00:07
PILAITĖ,0%,2021-12-22 02:00:07
SAVANORIAI,1%,2021-12-22 02:00:07
ŠILAINIAI,1%,2021-12-22 02:00:07
ŽALGIRIO ARENA,0%,2021-12-22 02:00:07
ANTAKALNIS,0%,2021-12-22 03:00:08
BANGINIS,0%,2021-12-22 03:00:08
EUROPA,0%,2021-12-22 03:00:08
FABIJONIŠKĖS,0%,2021-12-22 03:00:08
PERKŪNKIEMIS,0%,2021-12-22 03:00:08
PILAITĖ,0%,2021-12-22 03:00:08
SAVANORIAI,0%,2021-12-22 03:00:08
ŠILAINIAI,1%,2021-12-22 03:00:08
ŽALGIRIO ARENA,0%,2021-12-22 03:00:08
ANTAKALNIS,0%,2021-12-22 04:00:07
BANGINIS,0%,2021-12-22 04:00:07
EUROPA,0%,2021-12-22 04:00:07
FABIJONIŠKĖS,0%,2021-12-22 04:00:07
PERKŪNKIEMIS,0%,2021-12-22 04:00:07
PILAITĖ,0%,2021-12-22 04:00:07
SAVANORIAI,1%,2021-12-22 04:00:07
ŠILAINIAI,1%,2021-12-22 04:00:07
ŽALGIRIO ARENA,0%,2021-12-22 04:00:07
ANTAKALNIS,0%,2021-12-22 05:00:08
BANGINIS,1%,2021-12-22 05:00:08
EUROPA,0%,2021-12-22 05:00:08
FABIJONIŠKĖS,0%,2021-12-22 05:00:08
PERKŪNKIEMIS,0%,2021-12-22 05:00:08
PILAITĖ,0%,2021-12-22 05:00:08
SAVANORIAI,0%,2021-12-22 05:00:08
ŠILAINIAI,1%,2021-12-22 05:00:08
ŽALGIRIO ARENA,0%,2021-12-22 05:00:08
ANTAKALNIS,0%,2021-12-22 06:00:07
BANGINIS,3%,2021-12-22 06:00:07
EUROPA,1%,2021-12-22 06:00:07
FABIJONIŠKĖS,1%,2021-12-22 06:00:07
PERKŪNKIEMIS,0%,2021-12-22 06:00:07
PILAITĖ,2%,2021-12-22 06:00:07
SAVANORIAI,3%,2021-12-22 06:00:07
ŠILAINIAI,2%,2021-12-22 06:00:07
ŽALGIRIO ARENA,0%,2021-12-22 06:00:07
ANTAKALNIS,2%,2021-12-22 07:00:07
BANGINIS,7%,2021-12-22 07:00:07
EUROPA,6%,2021-12-22 07:00:07
FABIJONIŠKĖS,5%,2021-12-22 07:00:07
PERKŪNKIEMIS,4%,2021-12-22 07:00:07
PILAITĖ,6%,2021-12-22 07:00:07
SAVANORIAI,6%,2021-12-22 07:00:07
ŠILAINIAI,4%,2021-12-22 07:00:07
ŽALGIRIO ARENA,4%,2021-12-22 07:00:07
ANTAKALNIS,3%,2021-12-22 08:00:08
BANGINIS,11%,2021-12-22 08:00:08
EUROPA,6%,2021-12-22 08:00:08
FABIJONIŠKĖS,6%,2021-12-22 08:00:08
PERKŪNKIEMIS,6%,2021-12-22 08:00:08
PILAITĖ,3%,2021-12-22 08:00:08
SAVANORIAI,7%,2021-12-22 08:00:08
ŠILAINIAI,10%,2021-12-22 08:00:08
ŽALGIRIO ARENA,8%,2021-12-22 08:00:08
ANTAKALNIS,7%,2021-12-22 09:00:08
BANGINIS,11%,2021-12-22 09:00:08
EUROPA,12%,2021-12-22 09:00:08
FABIJONIŠKĖS,5%,2021-12-22 09:00:08
PERKŪNKIEMIS,6%,2021-12-22 09:00:08
PILAITĖ,8%,2021-12-22 09:00:08
SAVANORIAI,8%,2021-12-22 09:00:08
ŠILAINIAI,17%,2021-12-22 09:00:08
ŽALGIRIO ARENA,11%,2021-12-22 09:00:08
ANTAKALNIS,9%,2021-12-22 10:00:08
BANGINIS,8%,2021-12-22 10:00:08
EUROPA,8%,2021-12-22 10:00:08
FABIJONIŠKĖS,6%,2021-12-22 10:00:08
PERKŪNKIEMIS,5%,2021-12-22 10:00:08
PILAITĖ,3%,2021-12-22 10:00:08
SAVANORIAI,9%,2021-12-22 10:00:08
ŠILAINIAI,17%,2021-12-22 10:00:08
ŽALGIRIO ARENA,10%,2021-12-22 10:00:08
ANTAKALNIS,11%,2021-12-22 11:00:08
BANGINIS,6%,2021-12-22 11:00:08
EUROPA,10%,2021-12-22 11:00:08
FABIJONIŠKĖS,7%,2021-12-22 11:00:08
PERKŪNKIEMIS,8%,2021-12-22 11:00:08
PILAITĖ,5%,2021-12-22 11:00:08
SAVANORIAI,11%,2021-12-22 11:00:08
ŠILAINIAI,13%,2021-12-22 11:00:08
ŽALGIRIO ARENA,7%,2021-12-22 11:00:08
ANTAKALNIS,11%,2021-12-22 12:00:08
BANGINIS,11%,2021-12-22 12:00:08
EUROPA,14%,2021-12-22 12:00:08
FABIJONIŠKĖS,9%,2021-12-22 12:00:08
PERKŪNKIEMIS,9%,2021-12-22 12:00:08
PILAITĖ,6%,2021-12-22 12:00:08
SAVANORIAI,10%,2021-12-22 12:00:08
ŠILAINIAI,13%,2021-12-22 12:00:08
ŽALGIRIO ARENA,2%,2021-12-22 12:00:08
ANTAKALNIS,5%,2021-12-22 13:00:09
BANGINIS,10%,2021-12-22 13:00:09
EUROPA,13%,2021-12-22 13:00:09
FABIJONIŠKĖS,10%,2021-12-22 13:00:09
PERKŪNKIEMIS,7%,2021-12-22 13:00:09
PILAITĖ,7%,2021-12-22 13:00:09
SAVANORIAI,13%,2021-12-22 13:00:09
ŠILAINIAI,12%,2021-12-22 13:00:09
ŽALGIRIO ARENA,1%,2021-12-22 13:00:09
ANTAKALNIS,5%,2021-12-22 14:00:08
BANGINIS,8%,2021-12-22 14:00:08
EUROPA,12%,2021-12-22 14:00:08
FABIJONIŠKĖS,10%,2021-12-22 14:00:08
PERKŪNKIEMIS,6%,2021-12-22 14:00:08
PILAITĖ,7%,2021-12-22 14:00:08
SAVANORIAI,14%,2021-12-22 14:00:08
ŠILAINIAI,12%,2021-12-22 14:00:08
ŽALGIRIO ARENA,4%,2021-12-22 14:00:08
ANTAKALNIS,7%,2021-12-22 15:00:07
BANGINIS,13%,2021-12-22 15:00:07
EUROPA,11%,2021-12-22 15:00:07
FABIJONIŠKĖS,9%,2021-12-22 15:00:07
PERKŪNKIEMIS,10%,2021-12-22 15:00:07
PILAITĖ,5%,2021-12-22 15:00:07
SAVANORIAI,11%,2021-12-22 15:00:07
ŠILAINIAI,18%,2021-12-22 15:00:07
ŽALGIRIO ARENA,2%,2021-12-22 15:00:07
ANTAKALNIS,14%,2021-12-22 16:00:08
BANGINIS,14%,2021-12-22 16:00:08
EUROPA,11%,2021-12-22 16:00:08
FABIJONIŠKĖS,9%,2021-12-22 16:00:08
PERKŪNKIEMIS,13%,2021-12-22 16:00:08
PILAITĖ,6%,2021-12-22 16:00:08
SAVANORIAI,14%,2021-12-22 16:00:08
ŠILAINIAI,22%,2021-12-22 16:00:08
ŽALGIRIO ARENA,1%,2021-12-22 16:00:08
ANTAKALNIS,14%,2021-12-22 17:00:08
BANGINIS,14%,2021-12-22 17:00:08
EUROPA,18%,2021-12-22 17:00:08
FABIJONIŠKĖS,15%,2021-12-22 17:00:08
PERKŪNKIEMIS,8%,2021-12-22 17:00:08
PILAITĖ,9%,2021-12-22 17:00:08
SAVANORIAI,15%,2021-12-22 17:00:08
ŠILAINIAI,23%,2021-12-22 17:00:08
ŽALGIRIO ARENA,2%,2021-12-22 17:00:08
ANTAKALNIS,14%,2021-12-22 18:00:08
BANGINIS,21%,2021-12-22 18:00:08
EUROPA,25%,2021-12-22 18:00:08
FABIJONIŠKĖS,19%,2021-12-22 18:00:08
PERKŪNKIEMIS,14%,2021-12-22 18:00:08
PILAITĖ,11%,2021-12-22 18:00:08
SAVANORIAI,12%,2021-12-22 18:00:08
ŠILAINIAI,18%,2021-12-22 18:00:08
ŽALGIRIO ARENA,4%,2021-12-22 18:00:08
ANTAKALNIS,16%,2021-12-22 19:00:08
BANGINIS,26%,2021-12-22 19:00:08
EUROPA,24%,2021-12-22 19:00:08
FABIJONIŠKĖS,23%,2021-12-22 19:00:08
PERKŪNKIEMIS,17%,2021-12-22 19:00:08
PILAITĖ,14%,2021-12-22 19:00:08
SAVANORIAI,13%,2021-12-22 19:00:08
ŠILAINIAI,18%,2021-12-22 19:00:08
ŽALGIRIO ARENA,1%,2021-12-22 19:00:08
ANTAKALNIS,17%,2021-12-22 20:00:08
BANGINIS,14%,2021-12-22 20:00:08
EUROPA,16%,2021-12-22 20:00:08
FABIJONIŠKĖS,19%,2021-12-22 20:00:08
PERKŪNKIEMIS,20%,2021-12-22 20:00:08
PILAITĖ,11%,2021-12-22 20:00:08
