club,busyness,date
PERKŪNKIEMIS,14%,2021-12-30 12:00:07
PILAITĖ,10%,2021-12-30 12:00:07
SAVANORIAI,15%,2021-12-30 12:00:07
ŠILAINIAI,15%,2021-12-30 12:00:07
ŽALGIRIO ARENA,18%,2021-12-30 12:00:07
ANTAKALNIS,11%,2021-12-30 13:00:08
BANGINIS,10%,2021-12-30 13:00:08
EUROPA,13%,2021-12-30 13:00:08
FABIJONIŠKĖS,17%,2021-12-30 13:00:08
PERKŪNKIEMIS,11%,2021-12-30 13:00:08
PILAITĖ,7%,2021-12-30 13:00:08
SAVANORIAI,18%,2021-12-30 13:00:08
ŠILAINIAI,16%,2021-12-30 13:00:08
ŽALGIRIO ARENA,18%,2021-12-30 13:00:08
ANTAKALNIS,8%,2021-12-30 14:00:07
BANGINIS,8%,2021-12-30 14:00:07
EUROPA,11%,2021-12-30 14:00:07
FABIJONIŠKĖS,13%,2021-12-30 14:00:07
PERKŪNKIEMIS,8%,2021-12-30 14:00:07
PILAITĖ,8%,2021-12-30 14:00:07
SAVANORIAI,13%,2021-12-30 14:00:07
ŠILAINIAI,13%,2021-12-30 14:00:07
ŽALGIRIO ARENA,12%,2021-12-30 14:00:07
ANTAKALNIS,10%,2021-12-30 15:00:07
BANGINIS,10%,2021-12-30 15:00:07
EUROPA,9%,2021-12-30 15:00:07
FABIJONIŠKĖS,12%,2021-12-30 15:00:07
PERKŪNKIEMIS,9%,2021-12-30 15:00:07
PILAITĖ,7%,2021-12-30 15:00:07
SAVANORIAI,11%,2021-12-30 15:00:07
ŠILAINIAI,16%,2021-12-30 15:00:07
ŽALGIRIO ARENA,8%,2021-12-30 15:00:07
ANTAKALNIS,12%,2021-12-30 16:00:08
BANGINIS,13%,2021-12-30 16:00:08
EUROPA,11%,2021-12-30 16:00:08
FABIJONIŠKĖS,14%,2021-12-30 16:00:08
PERKŪNKIEMIS,8%,2021-12-30 16:00:08
PILAITĖ,8%,2021-12-30 16:00:08
SAVANORIAI,10%,2021-12-30 16:00:08
ŠILAINIAI,21%,2021-12-30 16:00:08
ŽALGIRIO ARENA,10%,2021-12-30 16:00:08
ANTAKALNIS,14%,2021-12-30 17:00:09
BANGINIS,16%,2021-12-30 17:00:09
EUROPA,15%,2021-12-30 17:00:09
FABIJONIŠKĖS,11%,2021-12-30 17:00:09
PERKŪNKIEMIS,9%,2021-12-30 17:00:09
PILAITĖ,8%,2021-12-30 17:00:09
SAVANORIAI,15%,2021-12-30 17:00:09
ŠILAINIAI,17%,2021-12-30 17:00:09
ŽALGIRIO ARENA,13%,2021-12-30 17:00:09
ANTAKALNIS,11%,2021-12-30 18:00:08
BANGINIS,19%,2021-12-30 18:00:08
EUROPA,18%,2021-12-30 18:00:08
FABIJONIŠKĖS,15%,2021-12-30 18:00:08
PERKŪNKIEMIS,14%,2021-12-30 18:00:08
PILAITĖ,9%,2021-12-30 18:00:08
SAVANORIAI,14%,2021-12-30 18:00:08
ŠILAINIAI,15%,2021-12-30 18:00:08
ŽALGIRIO ARENA,21%,2021-12-30 18:00:08
ANTAKALNIS,12%,2021-12-30 19:00:08
BANGINIS,21%,2021-12-30 19:00:08
EUROPA,11%,2021-12-30 19:00:08
FABIJONIŠKĖS,13%,2021-12-30 19:00:08
PERKŪNKIEMIS,14%,2021-12-30 19:00:08
PILAITĖ,12%,2021-12-30 19:00:08
SAVANORIAI,13%,2021-12-30 19:00:08
ŠILAINIAI,15%,2021-12-30 19:00:08
ŽALGIRIO ARENA,25%,2021-12-30 19:00:08
ANTAKALNIS,7%,2021-12-30 20:00:07
BANGINIS,16%,2021-12-30 20:00:07
EUROPA,10%,2021-12-30 20:00:07
FABIJONIŠKĖS,10%,2021-12-30 20:00:07
PERKŪNKIEMIS,16%,2021-12-30 20:00:07
PILAITĖ,10%,2021-12-30 20:00:07
SAVANORIAI,14%,2021-12-30 20:00:07
ŠILAINIAI,18%,2021-12-30 20:00:07
ŽALGIRIO ARENA,16%,2021-12-30 20:00:07
ANTAKALNIS,6%,2021-12-30 21:00:07
BANGINIS,8%,2021-12-30 21:00:07
EUROPA,7%,2021-12-30 21:00:07
FABIJONIŠKĖS,6%,2021-12-30 21:00:07
PERKŪNKIEMIS,10%,2021-12-30 21:00:07
PILAITĖ,10%,2021-12-30 21:00:07
SAVANORIAI,10%,2021-12-30 21:00:07
ŠILAINIAI,13%,2021-12-30 21:00:07
ŽALGIRIO ARENA,7%,2021-12-30 21:00:07
ANTAKALNIS,6%,2021-12-30 22:00:07
BANGINIS,5%,2021-12-30 22:00:07
EUROPA,4%,2021-12-30 22:00:07
FABIJONIŠKĖS,6%,2021-12-30 22:00:07
PERKŪNKIEMIS,7%,2021-12-30 22:00:07
PILAITĖ,4%,2021-12-30 22:00:07
SAVANORIAI,4%,2021-12-30 22:00:07
ŠILAINIAI,8%,2021-12-30 22:00:07
ŽALGIRIO ARENA,3%,2021-12-30 22:00:07
ANTAKALNIS,9%,2021-12-31 10:00:09
BANGINIS,11%,2021-12-31 10:00:09
EUROPA,6%,2021-12-31 10:00:09
FABIJONIŠKĖS,8%,2021-12-31 10:00:09
PERKŪNKIEMIS,7%,2021-12-31 10:00:09
PILAITĖ,10%,2021-12-31 10:00:09
SAVANORIAI,8%,2021-12-31 10:00:09
ŠILAINIAI,13%,2021-12-31 10:00:09
ŽALGIRIO ARENA,11%,2021-12-31 10:00:09
ANTAKALNIS,9%,2021-12-31 11:00:08
BANGINIS,8%,2021-12-31 11:00:08
EUROPA,10%,2021-12-31 11:00:08
FABIJONIŠKĖS,9%,2021-12-31 11:00:08
PERKŪNKIEMIS,5%,2021-12-31 11:00:08
PILAITĖ,10%,2021-12-31 11:00:08
SAVANORIAI,14%,2021-12-31 11:00:08
ŠILAINIAI,14%,2021-12-31 11:00:08
ŽALGIRIO ARENA,14%,2021-12-31 11:00:08
ANTAKALNIS,10%,2021-12-31 16:00:07
BANGINIS,14%,2021-12-31 16:00:07
EUROPA,9%,2021-12-31 16:00:07
FABIJONIŠKĖS,10%,2021-12-31 16:00:07
PERKŪNKIEMIS,8%,2021-12-31 16:00:07
PILAITĖ,8%,2021-12-31 16:00:07
SAVANORIAI,9%,2021-12-31 16:00:07
ŠILAINIAI,12%,2021-12-31 16:00:07
ŽALGIRIO ARENA,6%,2021-12-31 16:00:07
ANTAKALNIS,7%,2021-12-31 17:00:08
BANGINIS,10%,2021-12-31 17:00:08
EUROPA,0%,2021-12-31 17:00:08
FABIJONIŠKĖS,6%,2021-12-31 17:00:08
PERKŪNKIEMIS,5%,2021-12-31 17:00:08
PILAITĖ,9%,2021-12-31 17:00:08
SAVANORIAI,7%,2021-12-31 17:00:08
ŠILAINIAI,11%,2021-12-31 17:00:08
ŽALGIRIO ARENA,4%,2021-12-31 17:00:08
ANTAKALNIS,6%,2021-12-31 18:00:08
BANGINIS,8%,2021-12-31 18:00:08
EUROPA,0%,2021-12-31 18:00:08
FABIJONIŠKĖS,4%,2021-12-31 18:00:08
PERKŪNKIEMIS,4%,2021-12-31 18:00:08
PILAITĖ,8%,2021-12-31 18:00:08
SAVANORIAI,7%,2021-12-31 18:00:08
ŠILAINIAI,6%,2021-12-31 18:00:08
ŽALGIRIO ARENA,3%,2021-12-31 18:00:08
ANTAKALNIS,4%,2021-12-31 19:00:07
BANGINIS,4%,2021-12-31 19:00:07
EUROPA,0%,2021-12-31 19:00:07
FABIJONIŠKĖS,1%,2021-12-31 19:00:07
PERKŪNKIEMIS,3%,2021-12-31 19:00:07
PILAITĖ,5%,2021-12-31 19:00:07
SAVANORIAI,4%,2021-12-31 19:00:07
ŠILAINIAI,3%,2021-12-31 19:00:07
ŽALGIRIO ARENA,1%,2021-12-31 19:00:07
ANTAKALNIS,3%,2021-12-31 20:00:09
BANGINIS,3%,2021-12-31 20:00:09
EUROPA,0%,2021-12-31 20:00:09
FABIJONIŠKĖS,1%,2021-12-31 20:00:09
PERKŪNKIEMIS,2%,2021-12-31 20:00:09
PILAITĖ,1%,2021-12-31 20:00:09
SAVANORIAI,2%,2021-12-31 20:00:09
ŠILAINIAI,3%,2021-12-31 20:00:09
ŽALGIRIO ARENA,0%,2021-12-31 20:00:09
ANTAKALNIS,2%,2021-12-31 21:00:07
BANGINIS,1%,2021-12-31 21:00:07
EUROPA,0%,2021-12-31 21:00:07
FABIJONIŠKĖS,1%,2021-12-31 21:00:07
PERKŪNKIEMIS,1%,2021-12-31 21:00:07
PILAITĖ,1%,2021-12-31 21:00:07
SAVANORIAI,4%,2021-12-31 21:00:07
ŠILAINIAI,2%,2021-12-31 21:00:07
ŽALGIRIO ARENA,0%,2021-12-31 21:00:07
ANTAKALNIS,0%,2021-12-31 23:00:08
BANGINIS,1%,2021-12-31 23:00:08
EUROPA,0%,2021-12-31 23:00:08
FABIJONIŠKĖS,0%,2021-12-31 23:00:08
PERKŪNKIEMIS,0%,2021-12-31 23:00:08
PILAITĖ,0%,2021-12-31 23:00:08
SAVANORIAI,1%,2021-12-31 23:00:08
ŠILAINIAI,1%,2021-12-31 23:00:08
ŽALGIRIO ARENA,0%,2021-12-31 23:00:08
ANTAKALNIS,0%,2022-01-01 00:01:11
BANGINIS,0%,2022-01-01 00:01:11
EUROPA,0%,2022-01-01 00:01:11
FABIJONIŠKĖS,1%,2022-01-01 00:01:11
PERKŪNKIEMIS,0%,2022-01-01 00:01:11
PILAITĖ,1%,2022-01-01 00:01:11
SAVANORIAI,0%,2022-01-01 00:01:11
ŠILAINIAI,1%,2022-01-01 00:01:11
ŽALGIRIO ARENA,0%,2022-01-01 00:01:11
ANTAKALNIS,2%,2022-01-01 11:00:08
BANGINIS,1%,2022-01-01 11:00:08
EUROPA,0%,2022-01-01 11:00:08
FABIJONIŠKĖS,2%,2022-01-01 11:00:08
PERKŪNKIEMIS,1%,2022-01-01 11:00:08
PILAITĖ,2%,2022-01-01 11:00:08
SAVANORIAI,1%,2022-01-01 11:00:08
ŠILAINIAI,2%,2022-01-01 11:00:08
ŽALGIRIO ARENA,1%,2022-01-01 11:00:08
ANTAKALNIS,3%,2022-01-01 12:00:08
BANGINIS,4%,2022-01-01 12:00:08
EUROPA,0%,2022-01-01 12:00:08
FABIJONIŠKĖS,3%,2022-01-01 12:00:08
PERKŪNKIEMIS,3%,2022-01-01 12:00:08
PILAITĖ,3%,2022-01-01 12:00:08
SAVANORIAI,1%,2022-01-01 12:00:08
ŠILAINIAI,5%,2022-01-01 12:00:08
ŽALGIRIO ARENA,1%,2022-01-01 12:00:08
ANTAKALNIS,5%,2022-01-01 15:00:09
BANGINIS,6%,2022-01-01 15:00:09
EUROPA,0%,2022-01-01 15:00:09
FABIJONIŠKĖS,7%,2022-01-01 15:00:09
PERKŪNKIEMIS,4%,2022-01-01 15:00:09
PILAITĖ,3%,2022-01-01 15:00:09
SAVANORIAI,3%,2022-01-01 15:00:09
ŠILAINIAI,5%,2022-01-01 15:00:09
ŽALGIRIO ARENA,5%,2022-01-01 15:00:09
ANTAKALNIS,2%,2022-01-01 16:00:08
BANGINIS,5%,2022-01-01 16:00:08
EUROPA,0%,2022-01-01 16:00:08
FABIJONIŠKĖS,7%,2022-01-01 16:00:08
PERKŪNKIEMIS,2%,2022-01-01 16:00:08
PILAITĖ,4%,2022-01-01 16:00:08
SAVANORIAI,2%,2022-01-01 16:00:08
ŠILAINIAI,8%,2022-01-01 16:00:08
ŽALGIRIO ARENA,3%,2022-01-01 16:00:08
ANTAKALNIS,2%,2022-01-01 17:00:08
BANGINIS,5%,2022-01-01 17:00:08
EUROPA,0%,2022-01-01 17:00:08
FABIJONIŠKĖS,6%,2022-01-01 17:00:08
PERKŪNKIEMIS,3%,2022-01-01 17:00:08
PILAITĖ,3%,2022-01-01 17:00:08
SAVANORIAI,3%,2022-01-01 17:00:08
ŠILAINIAI,9%,2022-01-01 17:00:08
ŽALGIRIO ARENA,3%,2022-01-01 17:00:08
ANTAKALNIS,3%,2022-01-01 18:00:08
BANGINIS,7%,2022-01-01 18:00:08
EUROPA,0%,2022-01-01 18:00:08
FABIJONIŠKĖS,4%,2022-01-01 18:00:08
PERKŪNKIEMIS,2%,2022-01-01 18:00:08
PILAITĖ,4%,2022-01-01 18:00:08
SAVANORIAI,4%,2022-01-01 18:00:08
ŠILAINIAI,5%,2022-01-01 18:00:08
ŽALGIRIO ARENA,3%,2022-01-01 18:00:08
ANTAKALNIS,2%,2022-01-01 19:00:08
BANGINIS,5%,2022-01-01 19:00:08
EUROPA,0%,2022-01-01 19:00:08
FABIJONIŠKĖS,3%,2022-01-01 19:00:08
PERKŪNKIEMIS,2%,2022-01-01 19:00:08
PILAITĖ,5%,2022-01-01 19:00:08
SAVANORIAI,5%,2022-01-01 19:00:08
ŠILAINIAI,3%,2022-01-01 19:00:08
ŽALGIRIO ARENA,5%,2022-01-01 19:00:08
ANTAKALNIS,2%,2022-01-01 20:00:08
BANGINIS,4%,2022-01-01 20:00:08
EUROPA,0%,2022-01-01 20:00:08
FABIJONIŠKĖS,3%,2022-01-01 20:00:08
PERKŪNKIEMIS,1%,2022-01-01 20:00:08
PILAITĖ,2%,2022-01-01 20:00:08
SAVANORIAI,4%,2022-01-01 20:00:08
ŠILAINIAI,2%,2022-01-01 20:00:08
ŽALGIRIO ARENA,2%,2022-01-01 20:00:08
ANTAKALNIS,2%,2022-01-01 21:00:08
BANGINIS,3%,2022-01-01 21:00:08
EUROPA,0%,2022-01-01 21:00:08
FABIJONIŠKĖS,3%,2022-01-01 21:00:08
PERKŪNKIEMIS,2%,2022-01-01 21:00:08
PILAITĖ,4%,2022-01-01 21:00:08
SAVANORIAI,3%,2022-01-01 21:00:08
ŠILAINIAI,2%,2022-01-01 21:00:08
ŽALGIRIO ARENA,1%,2022-01-01 21:00:08
ANTAKALNIS,2%,2022-01-01 22:00:08
BANGINIS,3%,2022-01-01 22:00:08
EUROPA,0%,2022-01-01 22:00:08
FABIJONIŠKĖS,2%,2022-01-01 22:00:08
PERKŪNKIEMIS,0%,2022-01-01 22:00:08
PILAITĖ,3%,2022-01-01 22:00:08
SAVANORIAI,1%,2022-01-01 22:00:08
ŠILAINIAI,4%,2022-01-01 22:00:08
ŽALGIRIO ARENA,0%,2022-01-01 22:00:08
ANTAKALNIS,2%,2022-01-01 23:00:09
BANGINIS,2%,2022-01-01 23:00:09
EUROPA,0%,2022-01-01 23:00:09
FABIJONIŠKĖS,1%,2022-01-01 23:00:09
PERKŪNKIEMIS,0%,2022-01-01 23:00:09
PILAITĖ,1%,2022-01-01 23:00:09
SAVANORIAI,1%,2022-01-01 23:00:09
ŠILAINIAI,4%,2022-01-01 23:00:09
ŽALGIRIO ARENA,0%,2022-01-01 23:00:09
ANTAKALNIS,13%,2022-01-05 15:00:07
BANGINIS,13%,2022-01-05 15:00:07
EUROPA,11%,2022-01-05 15:00:07
FABIJONIŠKĖS,12%,2022-01-05 15:00:07
PERKŪNKIEMIS,8%,2022-01-05 15:00:07
PILAITĖ,6%,2022-01-05 15:00:07
SAVANORIAI,10%,2022-01-05 15:00:07
ŠILAINIAI,10%,2022-01-05 15:00:07
ŽALGIRIO ARENA,10%,2022-01-05 15:00:07
ANTAKALNIS,14%,2022-01-05 16:00:08
BANGINIS,11%,2022-01-05 16:00:08
EUROPA,13%,2022-01-05 16:00:08
FABIJONIŠKĖS,14%,2022-01-05 16:00:08
PERKŪNKIEMIS,6%,2022-01-05 16:00:08
PILAITĖ,7%,2022-01-05 16:00:08
SAVANORIAI,15%,2022-01-05 16:00:08
ŠILAINIAI,14%,2022-01-05 16:00:08
ŽALGIRIO ARENA,13%,2022-01-05 16:00:08
ANTAKALNIS,25%,2022-01-05 17:00:07
BANGINIS,17%,2022-01-05 17:00:07
EUROPA,22%,2022-01-05 17:00:07
FABIJONIŠKĖS,21%,2022-01-05 17:00:07
PERKŪNKIEMIS,14%,2022-01-05 17:00:07
PILAITĖ,18%,2022-01-05 17:00:07
SAVANORIAI,20%,2022-01-05 17:00:07
ŠILAINIAI,25%,2022-01-05 17:00:07
ŽALGIRIO ARENA,22%,2022-01-05 17:00:07
ANTAKALNIS,21%,2022-01-05 18:00:07
BANGINIS,25%,2022-01-05 18:00:07
EUROPA,22%,2022-01-05 18:00:07
FABIJONIŠKĖS,19%,2022-01-05 18:00:07
PERKŪNKIEMIS,20%,2022-01-05 18:00:07
PILAITĖ,23%,2022-01-05 18:00:07
SAVANORIAI,18%,2022-01-05 18:00:07
ŠILAINIAI,22%,2022-01-05 18:00:07
ŽALGIRIO ARENA,20%,2022-01-05 18:00:07
ANTAKALNIS,17%,2022-01-05 19:00:10
BANGINIS,28%,2022-01-05 19:00:10
EUROPA,20%,2022-01-05 19:00:10
FABIJONIŠKĖS,16%,2022-01-05 19:00:10
PERKŪNKIEMIS,21%,2022-01-05 19:00:10
PILAITĖ,22%,2022-01-05 19:00:10
SAVANORIAI,15%,2022-01-05 19:00:10
ŠILAINIAI,24%,2022-01-05 19:00:10
ŽALGIRIO ARENA,23%,2022-01-05 19:00:10
ANTAKALNIS,13%,2022-01-05 20:00:07
BANGINIS,28%,2022-01-05 20:00:07
EUROPA,14%,2022-01-05 20:00:07
FABIJONIŠKĖS,17%,2022-01-05 20:00:07
PERKŪNKIEMIS,21%,2022-01-05 20:00:07
PILAITĖ,18%,2022-01-05 20:00:07
SAVANORIAI,23%,2022-01-05 20:00:07
ŠILAINIAI,22%,2022-01-05 20:00:07
ŽALGIRIO ARENA,26%,2022-01-05 20:00:07
ANTAKALNIS,5%,2022-01-06 10:00:10
BANGINIS,10%,2022-01-06 10:00:10
EUROPA,12%,2022-01-06 10:00:10
FABIJONIŠKĖS,6%,2022-01-06 10:00:10
PERKŪNKIEMIS,7%,2022-01-06 10:00:10
PILAITĖ,5%,2022-01-06 10:00:10
SAVANORIAI,9%,2022-01-06 10:00:10
ŠILAINIAI,11%,2022-01-06 10:00:10
ŽALGIRIO ARENA,6%,2022-01-06 10:00:10
ANTAKALNIS,8%,2022-01-06 11:00:09
BANGINIS,12%,2022-01-06 11:00:09
EUROPA,12%,2022-01-06 11:00:09
FABIJONIŠKĖS,8%,2022-01-06 11:00:09
PERKŪNKIEMIS,6%,2022-01-06 11:00:09
PILAITĖ,6%,2022-01-06 11:00:09
SAVANORIAI,11%,2022-01-06 11:00:09
ŠILAINIAI,12%,2022-01-06 11:00:09
ŽALGIRIO ARENA,10%,2022-01-06 11:00:09
ANTAKALNIS,14%,2022-01-06 12:00:08
BANGINIS,13%,2022-01-06 12:00:08
EUROPA,15%,2022-01-06 12:00:08
FABIJONIŠKĖS,9%,2022-01-06 12:00:08
PERKŪNKIEMIS,11%,2022-01-06 12:00:08
PILAITĖ,10%,2022-01-06 12:00:08
SAVANORIAI,13%,2022-01-06 12:00:08
ŠILAINIAI,18%,2022-01-06 12:00:08
ŽALGIRIO ARENA,17%,2022-01-06 12:00:08
ANTAKALNIS,16%,2022-01-06 13:00:08
BANGINIS,15%,2022-01-06 13:00:08
EUROPA,16%,2022-01-06 13:00:08
FABIJONIŠKĖS,15%,2022-01-06 13:00:08
PERKŪNKIEMIS,13%,2022-01-06 13:00:08
PILAITĖ,10%,2022-01-06 13:00:08
SAVANORIAI,15%,2022-01-06 13:00:08
ŠILAINIAI,14%,2022-01-06 13:00:08
ŽALGIRIO ARENA,17%,2022-01-06 13:00:08
ANTAKALNIS,11%,2022-01-06 14:00:08
BANGINIS,15%,2022-01-06 14:00:08
EUROPA,11%,2022-01-06 14:00:08
FABIJONIŠKĖS,17%,2022-01-06 14:00:08
PERKŪNKIEMIS,10%,2022-01-06 14:00:08
PILAITĖ,11%,2022-01-06 14:00:08
SAVANORIAI,13%,2022-01-06 14:00:08
ŠILAINIAI,14%,2022-01-06 14:00:08
ŽALGIRIO ARENA,10%,2022-01-06 14:00:08
ANTAKALNIS,12%,2022-01-07 15:00:07
BANGINIS,16%,2022-01-07 15:00:07
EUROPA,13%,2022-01-07 15:00:07
FABIJONIŠKĖS,18%,2022-01-07 15:00:07
PERKŪNKIEMIS,9%,2022-01-07 15:00:07
PILAITĖ,8%,2022-01-07 15:00:07
SAVANORIAI,16%,2022-01-07 15:00:07
ŠILAINIAI,23%,2022-01-07 15:00:07
ŽALGIRIO ARENA,15%,2022-01-07 15:00:07
ANTAKALNIS,20%,2022-01-07 16:00:07
BANGINIS,20%,2022-01-07 16:00:07
EUROPA,14%,2022-01-07 16:00:07
FABIJONIŠKĖS,17%,2022-01-07 16:00:07
PERKŪNKIEMIS,8%,2022-01-07 16:00:07
PILAITĖ,9%,2022-01-07 16:00:07
SAVANORIAI,13%,2022-01-07 16:00:07
ŠILAINIAI,27%,2022-01-07 16:00:07
ŽALGIRIO ARENA,14%,2022-01-07 16:00:07
ANTAKALNIS,23%,2022-01-07 17:00:07
BANGINIS,20%,2022-01-07 17:00:07
EUROPA,18%,2022-01-07 17:00:07
FABIJONIŠKĖS,24%,2022-01-07 17:00:07
PERKŪNKIEMIS,15%,2022-01-07 17:00:07
PILAITĖ,11%,2022-01-07 17:00:07
SAVANORIAI,19%,2022-01-07 17:00:07
ŠILAINIAI,23%,2022-01-07 17:00:07
ŽALGIRIO ARENA,17%,2022-01-07 17:00:07
ANTAKALNIS,16%,2022-01-07 18:00:08
BANGINIS,27%,2022-01-07 18:00:08
EUROPA,23%,2022-01-07 18:00:08
FABIJONIŠKĖS,22%,2022-01-07 18:00:08
PERKŪNKIEMIS,22%,2022-01-07 18:00:08
PILAITĖ,10%,2022-01-07 18:00:08
SAVANORIAI,26%,2022-01-07 18:00:08
ŠILAINIAI,19%,2022-01-07 18:00:08
ŽALGIRIO ARENA,20%,2022-01-07 18:00:08
ANTAKALNIS,20%,2022-01-07 19:00:09
BANGINIS,24%,2022-01-07 19:00:09
EUROPA,19%,2022-01-07 19:00:09
FABIJONIŠKĖS,12%,2022-01-07 19:00:09
PERKŪNKIEMIS,24%,2022-01-07 19:00:09
PILAITĖ,15%,2022-01-07 19:00:09
SAVANORIAI,23%,2022-01-07 19:00:09
ŠILAINIAI,23%,2022-01-07 19:00:09
ŽALGIRIO ARENA,21%,2022-01-07 19:00:09
